stance width,impulse,error
0,161.170658447948,6.00538066690918
10,171.565045194983,3.82532540572816
20,171.038661648999,3.0808869488935
30,175.30272845607,5.35033556676653
40,193.37100892474,6.9115336628034
50,177.071975556323,0.703771185052342
60,188.268868263978,7.4985496544778
70,184.368025071291,4.71518156850018
80,170.993128699386,2.38463362501762
